# File Name: /shared/data/ui/current_run/20230223_JSRe0151_154845_20240223_181819.eds,,,,,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,,,,,
# Operator: Jacob R.,,,,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 6 Pro System,,,,,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: QS6Pro-2778623040011,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: 2778623040011,,,,,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number: 2779323032462,,,,,,,,,,,,,,,,,,,,,,,,
# Block Serial Number: 2778323042733,,,,,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time: 2024-02-23 06:20:24 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time: 2024-02-23 08:03:20 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 102 minutes 56 seconds,,,,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 15.0,,,,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: NONE,,,,,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,,,,,
# Melt Stage Number: 3,,,,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time: 2024-02-23 08:03:45 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Exported On: 2024-02-23 08:03:47 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
3,A3,FALSE,JSRp033_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.790560335,,,22.1240357,0.980897007,22.1240357,,TRUE,77428.48203,TRUE,3,13,83.06964111,,,
4,A4,FALSE,JSRp078_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.785476244,,,26.61887563,0.980974236,26.61887563,,TRUE,77428.48203,TRUE,3,18,83.06964111,,,
5,A5,FALSE,JSRp079_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.788560044,,,26.09507528,0.979747934,26.09507528,,TRUE,77428.48203,TRUE,3,18,83.06851959,,,
6,A6,FALSE,JSRp083_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.779564685,,,22.71678905,0.988118238,22.71678905,,TRUE,77428.48203,TRUE,3,12,83.06851959,,,
7,A7,FALSE,JSRp085_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.791087977,,,23.76079996,0.98364874,23.76079996,,TRUE,77428.48203,TRUE,3,14,83.06851959,,,
8,A8,FALSE,DMSO-4day_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.815389456,,,22.00089982,0.984045958,22.00089982,,TRUE,77428.48203,TRUE,3,12,83.16005707,,,
9,A9,FALSE,GSK591-4day_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.814151758,,,22.05088812,0.982669122,22.05088812,,TRUE,77428.48203,TRUE,3,14,83.15906525,,,
10,A10,FALSE,MS023-4day_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.796585788,,,22.07531,0.959809841,22.07531,,TRUE,77428.48203,TRUE,3,15,83.06752777,,,
11,A11,FALSE,GSK591-MS023-4day_PolyA_20,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.800347055,,,24.11859401,0.978587599,24.11859401,,TRUE,77428.48203,TRUE,3,15,83.06752777,,,
15,A15,FALSE,water_na_na,WDR79_JSRi199-200,UNKNOWN,SYBR,None,Amp,2.794045797,,,31.61317869,0.986387695,31.61317869,,TRUE,77428.48203,TRUE,3,21,83.16178131,,,
